chl,adg.440,bbp550,chl.sd,acdom.440.sd,anap440.sd
0.0115970107990861,0.01,0.0020550265986675,4.07252453663924e-06,NA,1.04057040908593e-07
0.0440432198277063,0.01,0.00148987792899673,1.36100043198779e-05,NA,1.43040135452702e-07
0.0400431157896365,0.01,0.00191736809151066,1.11806943551634e-05,NA,1.38840458399667e-07
0.01,0.01,0.00206520396039954,2.9484211273239e-06,NA,1.00059345003249e-07
0.0297773467202614,0.01,0.00194292478515362,9.12159279533375e-06,NA,1.33256503618701e-07
0.0306143638142348,0.01,0.00206163846000572,8.90127384808008e-06,NA,1.32061362742387e-07
0.0321329340737483,0.01,0.00217070787672849,8.90697406616451e-06,NA,1.32511315703857e-07
0.0434054287718671,0.01,0.00156040756511268,1.33626811293266e-05,NA,1.4249726937839e-07
0.0365148352440124,0.01,0.00190833976015122,1.05540515343386e-05,NA,1.3815852345528e-07
0.0444027823309634,0.01,0.00250993851294504,1.00621238861536e-05,NA,1.38088999825608e-07
0.0523095341669566,0.01,0.00133594486983505,1.66007802487074e-05,NA,1.48869101302561e-07
0.043892267843748,0.01,0.00215648509529508,1.09389766054789e-05,NA,1.38286124581003e-07
0.01,0.01,0.00186692514517849,3.43214964606768e-06,NA,1.00318583187503e-07
0.01,0.01,0.00134658226978895,4.44102785392555e-06,NA,1.03535390814226e-07
0.0449494813186069,0.01,0.00223615303163363,1.09261209506568e-05,NA,1.39382493511515e-07
0.032147455781504,0.01,0.00173539127571424,1.02778031069682e-05,NA,1.35940106837968e-07
0.01,0.01,0.00110723621178146,3.91644566769164e-06,NA,1.00000088996693e-07
0.0491389548286126,0.01,0.001,1.78373296709621e-05,NA,1.51203700076632e-07
0.0390420467782518,0.01,0.00180044439515735,1.14328866332356e-05,NA,1.3962573439727e-07
0.0363887300172981,0.01,0.00208825672500599,9.83158129070237e-06,NA,1.35578241167742e-07
0.0392272471897274,0.01,0.00213632572968175,1.04747393234586e-05,NA,1.39955510437484e-07
0.0489401611395352,0.01,0.00124842898273546,1.62978991985816e-05,NA,1.47410089599164e-07
0.0321523914565827,0.01,0.00292868409569036,7.06397483021544e-06,NA,1.27302920374744e-07
0.0540319889700467,0.01,0.0021714750015627,1.27372807176309e-05,NA,1.43723780850542e-07
0.0466076519068532,0.01,0.00188608502252023,1.23483216565622e-05,NA,1.40831067363899e-07
0.0722547350878681,0.01,0.00179668697954303,1.76753038377094e-05,NA,1.52567870793715e-07
0.0966887853747415,0.01,0.00280700499349762,1.67660324175624e-05,NA,1.600392169959e-07
0.115248899123665,0.01,0.00142970685014463,2.74405057323882e-05,NA,1.76669626625905e-07
